Draw Number,Main 1,Main 2,Main 3,Main 4,Main 5,Main 6,Supp 1,Supp 2
3559,11,18,26,27,37,39,5,30
3557,4,13,18,27,30,36,5,32
3555,6,12,23,26,28,36,27,43
3553,1,13,24,28,29,33,14,20
3551,6,10,15,16,17,29,18,33
3549,7,8,13,20,23,32,26,34
3547,3,11,13,29,38,42,15,19
3545,14,23,24,28,41,45,5,43
3543,8,15,25,30,31,44,4,14
3541,15,17,29,30,32,39,21,41
3539,8,10,22,27,39,44,20,25
3537,8,20,36,38,43,45,16,29
3535,15,29,31,32,33,39,12,22
3533,16,20,23,36,38,43,13,19
3531,1,2,31,38,39,45,26,34
3529,10,15,16,26,30,45,12,21
3527,4,13,27,29,31,32,34,36
3525,6,15,18,23,35,43,16,44
3523,5,7,12,20,29,42,11,30
3521,4,14,16,18,26,27,5,10
3519,3,7,13,21,24,30,4,27
3517,1,24,34,40,44,45,16,20
3515,13,16,17,18,25,29,26,27
3513,2,11,12,16,24,39,42,43
3511,7,9,17,26,42,43,24,29
3509,3,6,24,40,41,44,25,26
3507,1,11,14,33,37,45,22,41
3505,5,10,11,24,39,41,3,18
3503,16,22,24,35,37,42,29,36
3501,9,19,30,33,41,44,35,36
3499,9,15,19,26,33,36,4,45
3497,10,12,30,34,42,44,1,32
3495,1,10,16,30,33,41,28,32
3493,4,19,24,25,27,34,33,41
3491,18,21,35,38,39,43,13,27
3489,7,16,20,33,39,43,3,41
3487,6,8,9,19,21,41,2,34
3485,6,11,16,17,21,44,18,40
3483,1,5,13,36,38,39,4,23
3481,18,28,31,36,41,42,13,27
3479,1,5,14,23,31,42,10,44
3477,4,9,13,37,42,43,1,23
3475,16,19,20,22,27,35,23,24
3473,9,15,21,24,30,42,1,2
3471,11,12,17,36,38,44,9,31
3469,5,7,8,9,27,34,23,31
3467,3,11,13,21,42,44,26,32
3465,6,20,22,29,32,44,38,41
3463,1,6,16,20,25,36,24,33
3461,1,12,22,27,38,40,20,32
3459,1,5,10,14,29,33,9,22
3457,4,10,17,27,34,43,18,26
3455,2,14,24,37,40,44,18,33
3453,11,29,30,40,41,43,2,4
3451,2,3,15,16,18,24,25,31
3449,23,26,27,30,31,41,16,38
3447,7,10,12,26,30,36,15,32
3445,5,7,12,28,40,45,20,37
3443,4,8,13,27,28,42,6,26
3441,1,3,15,19,42,44,36,37
3439,5,7,14,20,31,39,18,27
3437,1,17,20,40,42,44,5,30
3435,1,12,28,31,32,34,8,24
3433,11,13,16,19,27,35,24,36
3431,1,19,20,36,38,41,10,29
3429,1,13,20,26,37,45,22,27
3427,11,13,28,37,43,45,26,27
3425,8,9,22,25,36,42,28,33
3423,10,13,16,22,39,45,2,9
